OA11CD,English is main language,Can speak English well or very well,Cannot speak English well or at all
E00016814,82.72425249169436,14.285714285714285,2.990033222591362
E00016815,76.98113207547169,18.11320754716981,4.90566037735849
E00016818,87.67123287671232,10.95890410958904,1.3698630136986303
E00016819,83.02583025830258,12.915129151291513,4.059040590405904
E00016778,85.18518518518519,12.250712250712251,2.564102564102564
E00016788,88.92988929889299,10.33210332103321,0.7380073800738007
E00016791,85.66666666666667,11.666666666666666,2.6666666666666665
E00016800,79.91452991452991,17.094017094017094,2.9914529914529915
E00016820,70.85201793721973,23.318385650224215,5.829596412556054
E00016823,87.6,10.0,2.4
E00016300,83.11688311688312,12.987012987012987,3.896103896103896
E00016310,90.26548672566372,8.849557522123893,0.8849557522123894
E00016312,86.45533141210375,11.815561959654179,1.7291066282420748
E00016343,92.17391304347827,5.797101449275362,2.028985507246377
E00016344,80.1909307875895,17.42243436754177,2.3866348448687353
E00016301,83.05555555555556,15.555555555555557,1.3888888888888888
E00016302,86.31178707224335,11.406844106463879,2.2813688212927756
E00016316,91.63987138263666,8.038585209003216,0.3215434083601286
E00016338,89.19667590027701,9.418282548476453,1.3850415512465375
E00016342,90.0,8.518518518518519,1.4814814814814814
E00016303,91.84782608695652,7.336956521739131,0.8152173913043478
E00016304,92.5233644859813,6.853582554517134,0.6230529595015576
E00016313,82.6923076923077,16.826923076923077,0.4807692307692308
E00016318,94.00749063670412,5.617977528089888,0.37453183520599254
E00016345,92.71255060728745,7.287449392712551,0.0
E00016307,79.87220447284345,15.654952076677317,4.472843450479234
E00016314,85.86572438162544,11.660777385159012,2.4734982332155475
E00016319,89.91228070175438,8.333333333333334,1.7543859649122808
E00016321,75.64935064935065,21.42857142857143,2.9220779220779223
E00016322,89.51841359773371,7.648725212464589,2.8328611898017
E00016305,89.41176470588235,9.019607843137255,1.5686274509803921
E00016306,92.1921921921922,5.7057057057057055,2.1021021021021022
E00016308,85.66666666666667,8.666666666666666,5.666666666666666
E00016315,88.83495145631068,9.70873786407767,1.4563106796116503
E00016317,78.81040892193309,16.728624535315987,4.4609665427509295
E00016320,82.08955223880596,16.791044776119403,1.119402985074627
E00016779,85.92057761732852,10.469314079422382,3.6101083032490973
E00016789,92.73743016759776,6.424581005586592,0.8379888268156425
E00016797,85.44474393530997,12.93800539083558,1.6172506738544474
E00016798,81.74603174603175,13.756613756613756,4.497354497354497
E00016821,92.42819843342036,6.266318537859008,1.3054830287206267
E00016780,83.07692307692308,14.102564102564102,2.8205128205128207
E00016782,78.92156862745098,15.931372549019608,5.147058823529412
E00016790,79.61783439490446,17.197452229299365,3.1847133757961785
E00016792,64.77987421383648,30.503144654088054,4.716981132075472
E00016795,86.36363636363636,10.984848484848484,2.6515151515151514
E00016783,86.62420382165605,10.828025477707007,2.5477707006369426
E00016802,85.59322033898304,11.581920903954803,2.8248587570621466
E00016807,83.37730870712402,15.03957783641161,1.5831134564643798
E00016809,87.5,10.897435897435898,1.6025641025641026
E00016810,79.90074441687345,16.625310173697272,3.4739454094292803
E00016784,87.12121212121212,10.984848484848484,1.893939393939394
E00016811,81.57894736842105,14.473684210526315,3.9473684210526314
E00016812,84.02777777777777,13.194444444444445,2.7777777777777777
E00016816,84.25925925925925,11.574074074074074,4.166666666666666
E00016817,82.16783216783217,13.636363636363637,4.195804195804196
E00016785,82.65306122448979,14.795918367346939,2.5510204081632653
E00016786,89.07563025210084,7.983193277310924,2.9411764705882355
E00016787,72.98578199052133,21.80094786729858,5.213270142180095
E00016822,75.63636363636364,19.636363636363637,4.727272727272727
E00016824,73.17073170731707,19.51219512195122,7.317073170731708
E00016445,88.58131487889273,9.688581314878894,1.7301038062283736
E00016448,93.4375,5.625,0.9375
E00016452,90.54054054054055,8.445945945945947,1.0135135135135136
E00016454,90.76305220883535,6.42570281124498,2.811244979919679
E00016455,93.3920704845815,5.286343612334802,1.3215859030837005
E00016446,90.49079754601227,7.668711656441718,1.8404907975460123
E00016453,84.30493273542601,14.349775784753364,1.345291479820628
