LSOA11CD,Total,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E01003304,1794,1252,0,0,0,0,0,0,0,0,0,45,34,33,144,24,13,43,1,1,5,7,10,17,6,3,4,5,5,0,0,0,0,0,8,3,2,0,0,3,0,0,0,8,14,12,36,4,6,19,5,2,41,4,3,6,0,6,7,0,0,9,0,4,1,1,102,10,4,59,5,0,18,0,0,4,2,0,0,1,1,0,62,2,1,14,0,7,12,13,1,0,1,0,2,4,1,4,1,1,1,1,0,0
E01003305,1331,1137,0,0,0,0,0,0,0,0,0,18,10,20,40,4,5,16,4,1,2,2,0,1,1,1,1,2,0,0,0,0,0,0,7,6,0,1,0,0,0,0,0,1,8,5,5,0,3,0,2,0,10,0,1,0,0,6,0,0,0,2,0,1,0,0,26,1,4,11,2,0,6,0,0,2,0,0,0,8,8,0,32,0,3,6,0,5,8,2,0,0,2,1,0,4,1,0,2,2,2,1,1,0
E01003307,1447,1318,0,0,0,0,0,0,0,0,0,12,2,6,38,8,1,13,0,0,2,5,3,1,1,2,2,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,4,7,3,7,0,0,4,3,0,18,0,0,0,0,2,0,0,0,11,0,4,1,0,12,0,1,4,3,0,4,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,2,6,0,0,0,0,0,1,0,1,1,1,0,0,0,0
E01003308,1736,1468,0,0,0,0,0,0,0,0,0,13,22,10,129,10,3,27,0,0,7,7,40,1,19,4,5,3,0,1,0,0,2,0,8,3,1,3,0,1,0,0,0,4,15,3,5,0,1,2,1,1,24,5,0,2,0,0,0,0,0,15,2,0,0,0,17,0,2,4,2,1,3,0,0,5,0,0,0,0,0,0,17,0,0,0,1,1,5,2,0,0,0,1,0,3,4,0,1,1,0,0,0,0
E01003309,1442,1229,0,0,0,0,0,0,0,0,0,29,25,23,27,3,4,10,0,1,0,2,0,1,2,2,1,1,0,0,0,0,0,0,11,6,2,2,0,1,0,0,0,4,16,3,21,0,9,10,2,0,17,0,3,1,0,7,0,0,0,3,1,0,0,2,16,5,2,4,2,0,3,0,0,0,0,0,0,0,0,0,19,1,0,2,0,2,7,1,1,1,1,0,0,0,0,3,0,0,2,1,1,0
E01003310,1485,1233,0,0,0,0,0,0,0,0,0,27,8,15,73,11,4,31,0,0,2,5,1,4,0,8,4,3,0,0,0,0,0,0,16,15,0,0,0,1,0,0,0,11,7,6,15,0,3,6,1,5,23,0,0,1,0,4,4,0,0,14,0,0,0,0,25,0,4,7,0,2,7,0,2,0,3,0,0,0,0,0,23,0,1,0,0,1,5,1,2,3,3,4,0,2,1,0,1,1,2,2,0,0
E01003311,1473,1313,0,0,0,0,0,0,0,0,0,14,3,5,57,6,7,24,2,0,3,7,0,2,0,3,0,1,1,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0,12,9,2,0,2,0,0,0,27,0,1,1,0,3,0,0,0,18,3,0,0,1,8,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,20,0,1,15,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01003312,1662,1489,1,0,0,0,0,0,0,0,0,10,14,10,57,8,3,14,0,0,3,3,3,7,3,1,1,7,3,0,0,0,0,1,6,4,0,1,0,1,0,0,0,5,4,3,10,1,5,2,0,2,19,0,0,2,0,2,2,0,0,12,0,1,0,0,15,3,0,3,2,0,5,0,0,2,0,0,0,0,0,0,15,0,0,1,0,0,1,3,0,2,0,1,6,1,0,0,2,2,2,2,0,0
E01003313,1440,1214,1,0,0,0,0,0,0,0,0,25,14,30,39,3,2,24,1,0,2,2,0,0,1,1,2,1,0,0,0,0,0,0,6,4,1,1,0,0,0,0,0,1,4,4,5,0,1,4,0,0,33,6,0,0,0,7,2,0,2,10,3,1,1,1,16,2,2,4,4,2,1,1,0,0,0,0,2,0,0,0,43,1,1,16,0,5,10,0,2,0,2,6,0,0,0,0,2,2,1,1,0,0
E01003314,1524,1347,0,0,0,0,0,0,0,0,0,16,3,6,69,6,8,17,3,2,3,1,0,7,15,0,3,1,1,2,0,0,0,0,8,5,1,0,0,2,0,0,0,2,20,7,6,0,1,1,4,0,18,1,0,0,0,3,0,0,0,9,4,1,0,0,11,3,1,1,3,0,0,3,0,0,0,0,0,0,0,0,8,0,1,0,0,4,0,0,0,0,0,0,1,0,0,2,1,1,2,2,0,0
E01003315,1220,1048,0,0,0,0,0,0,0,0,0,26,4,3,56,10,2,23,2,0,8,4,0,1,1,0,1,2,0,1,1,0,0,0,5,3,1,0,0,1,0,0,0,3,6,2,17,4,1,10,2,0,17,4,0,0,0,7,0,0,0,5,0,0,1,0,11,0,3,0,2,1,1,1,0,1,2,0,0,0,0,0,17,0,0,9,0,1,2,0,0,1,0,0,1,1,1,1,3,3,2,2,0,0
E01003316,1418,1270,0,0,0,0,0,0,0,0,0,9,0,7,50,11,5,12,4,1,2,5,0,0,7,2,1,0,0,0,0,0,0,0,6,1,1,0,0,4,0,0,0,4,17,1,9,0,3,6,0,0,13,1,0,0,0,5,5,0,0,0,0,2,0,0,20,0,2,3,2,2,2,1,1,6,1,0,1,0,0,0,11,0,2,1,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
E01003317,1767,1550,2,0,0,0,0,0,0,0,0,26,8,7,61,9,3,21,3,1,8,5,0,3,5,0,1,2,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,15,14,5,8,0,5,1,2,0,28,3,0,5,0,2,3,0,2,13,0,0,0,0,15,3,1,5,2,0,3,0,1,0,0,0,0,0,0,0,19,3,0,3,1,1,2,5,1,0,0,1,0,2,0,0,0,0,0,0,0,0
E01003318,1537,1205,0,0,0,0,0,0,0,0,0,34,14,3,99,7,6,43,0,1,11,13,0,3,9,0,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,11,8,6,0,2,4,0,0,75,3,1,0,0,13,0,0,0,53,3,0,2,0,20,1,0,8,2,0,2,0,0,6,1,0,0,3,2,1,47,0,1,8,0,6,7,6,6,0,0,3,1,0,8,1,2,2,1,0,0,1
E01003319,1743,1403,1,0,0,0,0,0,0,0,0,32,16,20,93,4,4,48,4,1,10,9,1,3,5,0,2,2,0,0,0,0,0,0,8,5,2,1,0,0,0,0,0,10,11,9,20,0,0,9,10,1,74,6,0,2,0,4,3,0,0,50,4,1,3,1,20,1,1,10,0,1,2,2,0,3,0,0,0,0,0,0,23,0,0,3,0,2,4,4,1,0,0,0,1,0,4,4,3,3,0,0,0,0
E01003320,1419,1194,0,0,0,0,0,0,0,0,0,29,5,9,56,6,0,26,0,0,6,5,0,0,6,1,1,1,1,1,0,0,0,2,9,9,0,0,0,0,0,0,0,5,17,10,9,0,1,8,0,0,41,2,0,5,0,2,0,0,0,32,0,0,0,0,10,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,22,0,0,2,4,3,3,3,0,2,1,1,1,1,0,1,0,0,3,1,1,1
E01003321,1762,1486,0,0,0,0,0,0,0,0,0,29,11,7,86,19,5,18,0,0,23,13,0,5,0,0,2,0,1,0,0,0,0,0,7,5,0,1,0,1,0,0,0,7,19,1,3,0,0,3,0,0,37,1,2,2,0,1,1,0,0,20,10,0,0,0,29,3,4,14,1,0,4,1,0,0,2,0,0,0,0,0,40,2,1,10,0,6,9,1,0,0,0,3,1,3,1,3,0,0,0,0,0,0
E01003322,1358,1137,0,0,0,0,0,0,0,0,0,14,10,6,66,10,2,29,0,0,10,4,0,0,7,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,18,9,6,0,2,3,1,0,60,9,1,1,0,4,4,0,1,35,5,0,0,0,11,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,19,1,0,2,0,2,2,5,0,1,0,0,0,4,0,2,0,0,0,0,0,0
E01003323,1422,1172,0,0,0,0,0,0,0,0,0,25,9,14,56,6,2,23,1,0,2,9,4,1,3,1,2,1,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,6,15,4,28,0,2,13,13,0,27,0,0,0,0,1,0,0,0,24,0,0,1,1,23,0,2,3,2,0,2,3,0,8,3,0,0,0,0,0,34,0,2,9,0,1,6,6,3,0,0,2,0,0,2,3,0,0,2,1,1,0
E01003324,1377,1070,0,0,0,0,0,0,0,0,0,34,6,6,61,9,4,19,0,3,9,6,0,0,6,0,1,1,0,0,3,0,0,0,9,8,0,1,0,0,0,0,0,3,32,5,4,0,1,3,0,0,47,8,0,1,0,2,0,0,0,32,0,0,0,4,46,9,1,13,2,0,15,0,0,6,0,0,0,0,0,0,52,0,0,9,9,10,7,3,2,2,0,0,0,4,6,0,0,0,2,2,0,0
E01003325,1629,1361,0,0,0,0,0,0,0,0,0,40,10,21,74,8,8,25,0,5,7,8,0,0,4,4,1,2,1,0,0,0,1,0,8,8,0,0,0,0,0,0,0,3,5,1,7,0,2,4,0,1,36,2,4,0,0,10,2,0,0,17,0,1,0,0,18,4,1,12,0,0,1,0,0,0,0,0,0,0,0,0,42,1,3,7,0,1,1,12,2,2,3,3,0,3,3,1,3,3,0,0,0,0
E01003326,1385,1223,1,0,0,0,0,0,0,0,0,14,11,3,62,5,1,31,2,1,7,0,1,8,3,0,0,2,0,1,0,0,0,0,7,3,4,0,0,0,0,0,0,7,10,1,8,1,2,5,0,0,11,1,0,2,0,2,1,0,0,1,2,1,1,0,10,1,2,1,3,1,0,1,0,0,1,1,0,0,0,0,15,0,0,4,0,0,5,1,0,0,1,0,0,2,1,1,1,1,0,0,0,0
E01003327,1711,1291,0,1,0,0,0,0,0,1,0,24,13,13,248,11,8,160,2,1,2,4,4,8,38,1,3,3,2,1,0,0,0,0,5,3,1,0,0,1,0,0,0,4,10,2,2,0,0,0,0,2,27,1,0,2,0,6,7,0,0,4,3,1,3,0,59,2,5,7,37,0,1,0,0,3,4,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,0,1,1,0,5,1,2,2,0,0,0,0
E01003328,1629,1420,0,0,0,0,0,0,0,0,0,21,7,11,70,13,5,25,1,1,10,3,1,8,1,1,0,0,1,0,0,0,0,0,19,14,2,0,0,3,0,0,0,5,15,1,4,0,2,2,0,0,15,0,2,0,0,2,4,0,0,5,1,0,0,1,12,0,0,5,3,0,2,2,0,0,0,0,0,0,0,0,27,0,0,2,0,0,3,8,0,0,2,1,2,2,0,7,2,2,0,0,0,0
E01003329,1498,1336,0,0,0,0,0,0,0,0,0,23,7,12,63,8,3,23,1,2,6,1,0,0,10,1,3,3,1,1,0,0,0,0,12,6,2,0,0,4,0,0,0,2,2,3,4,0,0,4,0,0,9,0,0,2,0,2,0,0,0,4,1,0,0,0,18,0,5,1,3,1,4,0,0,0,4,0,0,0,0,0,6,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
E01003330,1467,1300,0,1,0,0,0,0,0,1,0,15,8,4,42,6,5,3,1,0,0,5,0,5,9,0,4,1,3,0,0,0,0,0,7,7,0,0,0,0,0,0,0,2,7,7,3,0,0,3,0,0,23,2,0,0,0,0,7,0,0,7,0,0,0,7,14,0,3,0,0,0,9,0,0,2,0,0,0,0,0,0,29,1,0,6,0,8,2,3,1,1,1,2,0,0,4,0,3,3,2,2,0,0
E01003331,1356,1187,0,0,0,0,0,0,0,0,0,22,16,7,50,2,1,31,1,0,2,3,0,4,0,3,1,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,2,3,4,4,0,0,2,0,2,19,0,0,0,0,0,0,0,0,8,6,0,4,1,7,0,1,0,1,0,2,1,0,0,2,0,0,0,0,0,29,1,8,0,1,4,3,2,0,0,1,3,1,1,0,4,3,3,0,0,0,0
E01003332,1390,1214,0,0,0,0,0,0,0,0,0,16,9,18,56,7,3,21,0,2,4,4,2,6,3,0,2,2,0,0,0,0,0,0,14,12,1,1,0,0,0,0,0,0,7,4,2,1,0,1,0,0,20,2,0,0,0,0,8,0,0,6,0,0,4,0,13,0,4,1,2,0,3,0,0,2,1,0,0,0,0,0,15,0,0,1,0,7,0,1,0,1,2,1,0,0,2,0,2,2,0,0,0,0
E01003333,1447,1210,0,0,0,0,0,0,0,0,0,13,11,16,121,5,4,82,1,0,2,4,0,5,13,0,2,1,0,0,2,0,0,0,10,8,1,1,0,0,0,0,0,2,10,1,3,0,0,3,0,0,17,5,0,0,0,0,4,0,1,2,5,0,0,0,23,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,3,3,0,0,0,0
E01003334,1570,1334,0,0,0,0,0,0,0,0,0,28,10,8,86,12,3,30,4,5,4,5,0,6,10,0,2,1,2,0,0,0,0,2,7,7,0,0,0,0,0,0,0,4,13,7,7,0,0,6,1,0,23,6,1,0,0,0,1,0,0,7,4,1,2,1,24,0,4,6,3,1,6,1,0,2,1,0,0,0,0,0,16,0,0,2,0,1,3,0,1,1,0,4,0,2,0,2,1,1,2,1,1,0
E01003335,1334,1188,0,0,0,0,0,0,0,0,0,11,10,7,31,3,1,8,3,3,0,3,4,0,0,4,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,9,4,10,0,0,4,6,0,32,6,0,0,0,0,5,0,0,13,7,0,1,0,7,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,15,0,0,4,0,0,6,1,1,2,1,0,0,0,0,0,7,7,1,0,0,1
E01003336,1313,1121,0,0,0,0,0,0,0,0,0,33,8,19,26,9,0,7,0,0,1,1,1,5,0,0,0,0,0,2,0,0,0,0,4,1,0,1,0,2,0,0,0,4,12,4,9,0,1,5,0,3,24,2,3,0,0,6,4,0,0,9,0,0,0,0,15,3,1,6,0,0,2,3,0,0,0,0,0,0,0,0,34,4,0,4,0,4,6,3,4,1,2,0,0,6,0,0,0,0,0,0,0,0
E01003337,1524,1213,1,0,0,0,0,0,0,0,0,18,9,15,119,4,3,38,0,0,3,58,0,0,10,0,1,0,0,1,0,0,1,0,13,10,2,0,0,1,0,0,0,3,10,0,23,0,1,19,2,1,16,4,0,0,0,3,0,0,0,6,0,3,0,0,36,0,12,9,0,0,10,1,0,4,0,0,0,0,0,0,47,2,1,3,2,7,12,2,4,3,3,2,0,2,2,2,1,1,0,0,0,0
E01003338,1705,1293,0,1,1,0,0,0,0,0,0,37,27,47,57,6,2,18,2,0,11,5,1,0,3,2,2,1,2,1,0,0,1,0,11,7,2,0,0,2,0,0,0,5,12,21,13,1,3,4,5,0,30,2,0,0,0,7,2,0,0,12,0,3,3,1,86,9,10,31,1,0,30,1,0,1,3,0,0,0,0,0,62,1,4,28,1,0,11,7,1,0,2,0,0,2,1,4,1,1,2,2,0,0
E01003339,1688,1352,1,0,0,0,0,0,0,0,0,51,21,22,110,11,4,35,0,1,1,7,3,3,5,3,1,32,0,0,0,1,2,1,3,1,0,0,0,2,0,0,0,3,13,15,8,0,1,4,3,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,36,0,5,13,0,1,11,0,0,6,0,2,0,0,0,0,43,0,1,6,7,6,7,5,0,0,1,1,2,3,1,3,3,3,2,2,0,0
E01003340,1853,1489,0,0,0,0,0,0,0,0,0,27,25,56,144,37,30,25,1,1,4,11,2,14,6,4,4,4,1,0,0,0,0,0,4,1,3,0,0,0,0,0,0,7,13,8,5,0,2,3,0,0,9,3,2,0,0,2,1,0,0,0,0,1,0,0,39,2,7,2,4,3,10,1,0,6,4,0,0,1,0,1,26,0,4,8,0,0,5,1,0,0,0,0,3,4,0,1,0,0,0,0,0,0
E01003341,1448,1266,0,0,0,0,0,0,0,0,0,16,5,27,57,9,14,4,1,1,5,4,0,6,7,2,0,2,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,4,13,6,3,0,2,0,1,0,18,0,0,0,0,0,1,0,4,13,0,0,0,0,21,2,2,8,1,2,3,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,4,4,1,1,0,0
E01003342,1530,1271,0,0,0,0,0,0,0,0,0,19,15,16,122,27,5,50,7,2,2,6,0,5,0,9,2,1,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,8,2,3,9,0,3,4,2,0,18,7,1,1,0,0,0,0,0,3,1,0,5,0,13,2,3,2,2,0,1,1,0,2,0,0,0,0,0,0,30,0,0,1,0,2,7,0,0,2,0,3,1,13,1,0,1,1,1,0,0,1
E01003343,1300,1109,0,0,0,0,0,0,0,0,0,16,9,11,57,5,6,30,1,1,5,0,0,0,1,1,0,5,1,1,0,0,0,0,5,4,0,0,1,0,0,0,0,7,9,6,13,0,1,9,2,1,9,3,0,0,0,1,0,0,0,5,0,0,0,0,22,0,7,6,2,1,0,5,0,1,0,0,0,0,0,0,25,0,0,3,0,5,3,1,0,0,0,0,1,10,1,1,1,1,1,1,0,0
E01003344,1672,1441,0,0,0,0,0,0,0,0,0,28,7,10,84,16,24,15,0,0,4,2,0,3,4,3,3,6,1,3,0,0,0,0,6,5,0,0,0,1,0,0,0,3,6,2,19,1,2,15,0,1,17,0,1,3,0,8,0,0,0,4,0,0,0,1,24,2,12,2,0,3,4,0,0,0,1,0,0,0,0,0,23,0,0,3,0,0,4,3,0,0,0,0,11,0,2,0,1,1,1,1,0,0
E01003345,1627,1306,0,0,0,0,0,0,0,0,0,37,12,14,117,29,12,32,3,0,4,12,1,5,0,3,0,6,0,2,5,0,0,3,10,7,1,2,0,0,0,0,0,4,16,5,17,0,8,7,0,2,18,9,0,0,0,0,1,0,2,6,0,0,0,0,30,4,2,13,5,2,2,0,0,2,0,0,0,0,0,0,40,1,0,9,0,2,4,1,1,0,6,0,1,10,3,2,1,1,0,0,0,0
E01003346,1477,1293,0,0,0,0,0,0,0,0,0,15,3,1,29,0,3,11,0,0,0,11,0,0,0,2,0,0,0,0,0,0,2,0,5,4,0,0,0,1,0,0,0,2,16,2,4,0,1,3,0,0,75,0,0,4,0,1,0,0,1,69,0,0,0,0,7,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,24,0,0,7,0,2,10,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0
E01003347,1637,1369,0,0,0,0,0,0,0,0,0,35,1,7,32,5,3,14,1,1,0,3,0,0,1,1,2,0,0,0,0,0,1,0,16,15,0,0,0,1,0,0,0,9,20,8,19,0,9,7,0,3,67,0,0,0,0,4,0,0,0,63,0,0,0,0,16,0,0,6,1,0,5,2,0,0,2,0,0,0,0,0,36,1,0,2,0,7,1,7,0,11,0,5,0,0,1,1,1,1,1,0,0,1
E01003348,1401,1158,0,0,0,0,0,0,0,0,0,8,6,2,49,16,10,12,0,1,3,1,0,0,3,3,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,14,18,0,10,0,0,3,1,6,91,0,1,4,0,1,5,0,0,75,0,5,0,0,11,0,5,1,0,1,4,0,0,0,0,0,0,0,0,0,20,0,0,5,0,3,3,2,0,1,1,2,0,3,0,0,1,1,5,3,2,0
E01003349,1345,1186,0,1,0,0,0,0,0,1,0,6,4,4,33,3,0,11,0,0,5,13,0,0,0,1,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,5,13,9,4,0,1,2,0,1,38,4,0,3,0,3,3,0,0,22,3,0,0,0,9,1,0,3,0,0,0,1,1,3,0,0,0,1,1,0,22,0,0,0,0,2,6,10,0,1,1,0,0,1,1,0,2,2,0,0,0,0
E01003350,1338,1161,0,0,0,0,0,0,0,0,0,14,10,1,13,2,0,4,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,23,3,6,0,0,0,6,0,58,1,0,0,0,2,2,0,0,53,0,0,0,0,10,0,1,1,0,0,5,0,1,2,0,1,0,0,0,0,20,0,0,0,0,5,5,3,0,4,0,3,0,0,0,0,5,5,2,1,1,0
E01003351,1389,1226,0,0,0,0,0,0,0,0,0,11,2,2,46,3,2,15,0,0,10,3,3,2,5,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,18,3,4,0,2,2,0,0,37,1,0,1,0,7,0,0,0,28,0,0,0,0,4,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,4,1,0,8,0,0,0,10,1,3,1,1,1,1,0,0
E01003352,1749,1492,0,0,0,0,0,0,0,0,0,17,17,10,36,8,1,14,1,1,0,6,0,1,0,1,0,0,3,0,0,0,0,0,12,12,0,0,0,0,0,0,0,11,14,5,6,0,0,2,4,0,64,2,0,1,0,11,7,0,0,39,0,0,3,1,25,3,0,9,0,0,11,2,0,0,0,0,0,0,0,0,36,1,0,12,0,3,10,2,0,0,2,1,0,0,1,4,2,2,2,2,0,0
E01003353,1687,1420,0,0,0,0,0,0,0,0,0,13,9,4,40,2,4,12,0,1,0,14,0,2,0,3,0,0,0,1,1,0,0,0,7,7,0,0,0,0,0,0,0,9,28,3,11,0,2,9,0,0,119,2,0,2,0,1,1,0,0,109,0,2,2,0,11,0,6,3,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,4,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0
E01003354,1589,1332,0,0,0,0,0,0,0,0,0,23,5,1,33,4,5,10,0,1,3,5,1,0,2,1,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,25,24,1,13,0,2,5,1,5,73,8,0,1,0,0,0,0,0,64,0,0,0,0,15,2,5,4,0,0,2,1,0,1,0,0,0,0,0,0,40,3,0,8,0,1,11,4,0,0,4,4,0,2,1,2,1,1,0,0,0,0
E01032564,1251,1073,0,1,0,0,0,0,0,1,0,11,8,9,28,2,7,8,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,3,0,0,0,0,0,1,8,10,6,0,0,2,4,0,49,0,0,0,0,0,0,0,0,48,1,0,0,0,18,3,1,5,1,0,1,1,0,3,3,0,0,0,0,0,14,0,0,3,0,2,3,3,0,0,0,0,0,0,3,0,1,1,1,1,0,0
E01032565,1338,1224,0,1,0,0,0,0,0,1,0,7,3,1,20,1,4,5,0,0,4,1,2,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,17,3,3,0,0,2,1,0,32,2,0,0,0,0,0,0,0,30,0,0,0,0,7,0,1,1,1,0,1,0,0,2,1,0,0,0,0,0,12,0,0,0,0,7,2,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0
E01032579,1394,1046,0,0,0,0,0,0,0,0,0,40,18,26,57,11,8,9,0,2,3,8,0,1,0,2,0,7,0,4,0,0,0,2,11,6,1,0,0,4,0,0,0,1,8,3,17,2,1,11,0,3,31,0,0,0,0,10,2,0,0,16,0,0,3,0,88,14,9,30,7,1,24,1,0,2,0,0,0,0,0,0,47,2,1,10,2,2,3,10,5,0,3,0,0,6,0,3,1,1,0,0,0,0
E01033320,1412,1176,0,1,1,0,0,0,0,0,0,19,9,16,56,5,4,24,0,0,2,4,4,5,0,1,3,2,0,2,0,0,0,0,10,5,5,0,0,0,0,0,0,3,16,4,12,0,3,4,2,3,37,8,1,0,0,2,0,0,3,20,0,2,0,1,28,1,3,9,3,0,0,0,1,10,1,0,0,0,0,0,22,1,0,5,0,1,7,1,0,0,2,0,1,2,2,0,1,1,2,2,0,0
E01033322,1207,994,0,0,0,0,0,0,0,0,0,19,15,11,70,8,4,36,0,0,5,5,3,4,0,0,4,0,0,1,0,0,0,0,7,3,4,0,0,0,0,0,0,9,4,3,13,0,0,11,1,1,34,4,6,1,0,5,0,0,1,14,2,1,0,0,18,1,0,5,0,3,0,0,1,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,1,1,0,0
E01033324,1539,1350,0,1,0,0,0,0,0,1,0,18,4,15,62,17,5,11,2,2,0,3,4,6,0,1,3,3,1,2,1,1,0,0,4,4,0,0,0,0,0,0,0,1,4,3,1,0,0,0,1,0,10,0,0,0,0,7,0,0,0,3,0,0,0,0,33,1,4,10,3,2,8,1,3,0,1,0,0,2,0,2,29,1,0,8,0,4,1,4,0,0,0,2,1,1,7,0,2,2,0,0,0,0
E01033325,1156,858,0,0,0,0,0,0,0,0,0,35,7,28,83,14,18,17,1,4,1,2,1,10,3,5,0,4,0,2,0,0,0,1,6,2,1,0,0,3,0,0,0,10,9,13,5,0,0,1,3,1,68,2,19,0,0,1,1,2,6,28,2,1,0,6,28,3,3,13,2,5,1,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0
E01033327,1454,1085,0,1,1,0,0,0,0,0,0,12,14,31,143,10,10,58,2,8,14,9,3,0,2,4,1,19,1,0,1,0,0,1,17,8,1,6,0,2,0,0,0,7,9,21,8,0,0,4,3,1,35,3,4,0,0,3,3,0,1,16,1,1,1,2,61,9,7,33,0,0,6,3,0,2,1,0,0,0,0,0,9,1,1,1,1,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0
