OA11CD,United Kingdom,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania,Other
E00016760,61.75438596491228,14.73684210526316,10.175438596491228,8.070175438596491,4.56140350877193,0.7017543859649122,-1.4210854715202004e-14
E00173704,60.94420600858369,10.300429184549355,11.158798283261802,9.012875536480687,6.866952789699571,1.7167381974248928,0.0
E00173705,58.088235294117645,13.23529411764706,10.294117647058824,3.676470588235294,10.294117647058824,4.411764705882353,0.0
E00173707,68.64406779661017,10.169491525423728,5.932203389830509,6.779661016949152,0.847457627118644,7.627118644067797,1.4210854715202004e-14
E00016729,82.99595141700405,6.882591093117409,2.834008097165992,2.834008097165992,4.4534412955465585,0.0,0.0
E00016730,68.58006042296073,9.667673716012086,12.084592145015106,3.6253776435045317,5.740181268882175,0.3021148036253776,-1.4210854715202004e-14
E00016759,74.76923076923077,11.692307692307692,2.769230769230769,4.3076923076923075,5.846153846153846,0.6153846153846154,0.0
E00016761,78.6144578313253,9.036144578313253,5.421686746987952,2.710843373493976,3.0120481927710845,1.2048192771084338,0.0
E00016762,59.80707395498392,10.289389067524116,14.790996784565916,5.466237942122186,9.646302250803858,0.0,0.0
E00016765,67.56756756756756,11.711711711711711,8.558558558558559,4.054054054054054,6.756756756756757,1.3513513513513513,0.0
E00016767,74.72527472527473,6.95970695970696,5.4945054945054945,3.663003663003663,7.6923076923076925,1.465201465201465,0.0
E00016770,68.75,16.666666666666664,6.25,4.861111111111111,2.0833333333333335,1.3888888888888888,1.4210854715202004e-14
E00016771,75.12953367875647,10.362694300518134,4.66321243523316,4.1450777202072535,5.4404145077720205,0.25906735751295334,1.4210854715202004e-14
E00016774,74.58563535911603,6.077348066298343,4.972375690607735,7.458563535911602,6.077348066298343,0.27624309392265195,0.5524861878452896
E00016777,76.13941018766756,6.970509383378016,4.825737265415549,5.361930294906166,5.630026809651475,0.8042895442359249,0.2680965147453094
E00016731,70.3225806451613,9.032258064516128,7.096774193548387,5.161290322580645,7.741935483870968,0.6451612903225806,1.4210854715202004e-14
E00016769,66.39344262295081,8.196721311475411,9.289617486338798,5.191256830601093,9.836065573770492,1.092896174863388,0.0
E00016773,65.70397111913357,6.859205776173285,8.664259927797834,7.2202166064981945,11.552346570397113,0.0,0.0
E00016775,55.078125,10.546875,16.015625,7.03125,11.328125,0.0,0.0
E00016776,72.27414330218069,9.034267912772584,5.919003115264798,4.984423676012461,7.4766355140186915,0.3115264797507788,-1.4210854715202004e-14
E00016460,69.48640483383686,9.667673716012084,7.2507552870090635,5.13595166163142,8.157099697885196,0.3021148036253776,-1.4210854715202004e-14
E00016463,53.663366336633665,21.980198019801982,12.07920792079208,4.752475247524752,6.534653465346534,0.9900990099009901,-1.4210854715202004e-14
E00016467,74.21383647798743,12.578616352201259,5.031446540880503,3.459119496855346,4.088050314465409,0.6289308176100629,-2.842170943040401e-14
E00016469,60.78431372549019,19.934640522875817,11.437908496732026,2.9411764705882355,3.5947712418300655,1.3071895424836601,2.842170943040401e-14
