Postcode7,Postcode8,PostcodeNatural,IntroductionDate,TerminationDate,Usertype,OA11CD,LSOA11CD,MSOA11CD,LAD19CD,WD22CD_proposed
BR1 5LF,BR1  5LF,BR1 5LF,198001,,0,E00016957,E01003351,E02000678,E09000023,E05013720
BR1 5LG,BR1  5LG,BR1 5LG,198001,,0,E00016961,E01003349,E02000678,E09000023,E05013720
BR1 5LH,BR1  5LH,BR1 5LH,198001,,0,E00016954,E01003349,E02000678,E09000023,E05013720
BR1 5LJ,BR1  5LJ,BR1 5LJ,198001,,0,E00016931,E01003349,E02000678,E09000023,E05013720
BR1 5LL,BR1  5LL,BR1 5LL,198001,,0,E00016954,E01003349,E02000678,E09000023,E05013720
BR1 5LN,BR1  5LN,BR1 5LN,198001,,0,E00016371,E01003236,E02006783,E09000023,E05013720
BR1 5LP,BR1  5LP,BR1 5LP,198001,,0,E00016957,E01003351,E02000678,E09000023,E05013720
BR1 5LQ,BR1  5LQ,BR1 5LQ,198001,,0,E00016932,E01003349,E02000678,E09000023,E05013720
BR1 5LR,BR1  5LR,BR1 5LR,198001,,0,E00016932,E01003349,E02000678,E09000023,E05013720
BR1 5LS,BR1  5LS,BR1 5LS,198001,,0,E00016371,E01003236,E02006783,E09000023,E05013720
BR1 5LT,BR1  5LT,BR1 5LT,198001,,0,E00016377,E01003238,E02006783,E09000023,E05013720
BR1 5LU,BR1  5LU,BR1 5LU,198001,,0,E00016377,E01003238,E02006783,E09000023,E05013720
BR1 5LW,BR1  5LW,BR1 5LW,198001,,0,E00016369,E01003236,E02006783,E09000023,E05013720
BR1 5LX,BR1  5LX,BR1 5LX,198001,,0,E00016379,E01003238,E02006783,E09000023,E05013720
BR1 5LY,BR1  5LY,BR1 5LY,198001,,0,E00016372,E01003238,E02006783,E09000023,E05013720
BR1 5LZ,BR1  5LZ,BR1 5LZ,198001,,0,E00016377,E01003238,E02006783,E09000023,E05013720
BR1 5NA,BR1  5NA,BR1 5NA,198001,,0,E00016379,E01003238,E02006783,E09000023,E05013720
BR1 5NB,BR1  5NB,BR1 5NB,198001,,0,E00016379,E01003238,E02006783,E09000023,E05013720
BR1 5ND,BR1  5ND,BR1 5ND,198001,,0,E00016348,E01003238,E02006783,E09000023,E05013720
BR1 5NE,BR1  5NE,BR1 5NE,198001,,0,E00016372,E01003238,E02006783,E09000023,E05013720
BR1 5NF,BR1  5NF,BR1 5NF,198001,,0,E00016348,E01003238,E02006783,E09000023,E05013720
BR1 5NG,BR1  5NG,BR1 5NG,198001,,0,E00016349,E01003239,E02006783,E09000023,E05013720
BR1 5NH,BR1  5NH,BR1 5NH,198001,,0,E00016933,E01003351,E02000678,E09000023,E05013720
BR1 5NJ,BR1  5NJ,BR1 5NJ,198001,,0,E00016349,E01003239,E02006783,E09000023,E05013720
BR1 5NL,BR1  5NL,BR1 5NL,198001,,0,E00016375,E01003238,E02006783,E09000023,E05013720
BR1 5NN,BR1  5NN,BR1 5NN,198001,,0,E00016960,E01003351,E02000678,E09000023,E05013720
BR1 5NP,BR1  5NP,BR1 5NP,198001,,0,E00016933,E01003351,E02000678,E09000023,E05013720
BR1 5NQ,BR1  5NQ,BR1 5NQ,198001,,0,E00016349,E01003239,E02006783,E09000023,E05013720
BR1 5NR,BR1  5NR,BR1 5NR,198001,,0,E00016352,E01003237,E02006783,E09000023,E05013720
BR1 5NS,BR1  5NS,BR1 5NS,198001,,0,E00016387,E01032564,E02006783,E09000023,E05013720
