OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016408,174,11,5,9,4,16,23,32,20,14,11,7,14,5,1,2,0,0,0
E00016410,176,8,5,6,1,8,26,34,26,16,10,10,8,8,3,6,1,0,0
E00016438,151,11,4,4,1,8,21,34,19,16,12,7,7,4,2,1,0,0,0
E00016402,156,6,14,12,7,16,17,11,10,10,17,11,8,4,2,8,2,1,0
E00016407,108,8,7,4,2,5,7,19,16,9,9,10,3,2,1,4,2,0,0
E00016409,210,12,23,19,13,18,28,16,14,11,21,15,4,7,6,0,1,1,1
E00016411,192,8,21,13,7,7,29,25,24,15,13,3,10,12,2,3,0,0,0
E00016413,174,12,9,11,9,15,21,17,10,13,19,7,5,17,3,5,0,0,1
E00016398,129,8,4,4,7,5,17,18,20,10,5,9,5,5,5,4,2,0,1
E00016431,361,12,10,3,7,32,55,66,56,46,18,22,8,7,8,9,1,0,1
E00016432,221,11,9,4,5,18,32,41,26,24,12,7,18,5,3,2,2,0,2
E00016434,195,7,20,11,14,24,29,12,10,10,18,13,10,5,6,5,1,0,0
E00173943,185,4,13,12,12,14,14,19,22,23,9,15,7,6,2,9,1,0,3
E00173946,26,0,0,0,0,0,3,4,5,4,3,3,2,0,0,0,1,1,0
E00016397,712,32,25,13,13,95,122,154,112,65,26,22,17,6,2,4,1,1,2
E00016433,749,49,12,19,13,88,128,145,111,40,21,35,26,17,17,13,5,7,3
E00016436,209,13,13,19,11,25,25,28,18,8,8,10,11,7,3,3,1,3,3
E00016440,211,7,12,13,17,37,26,11,12,13,15,20,17,6,1,1,0,2,1
E00016441,213,3,8,9,12,34,21,18,24,16,14,8,16,13,11,4,1,1,0
E00016415,213,13,25,14,15,14,27,35,15,8,9,8,9,9,5,5,1,1,0
E00016416,159,14,9,9,9,8,25,17,11,3,7,13,12,9,4,4,4,0,1
E00016419,208,5,19,16,15,13,32,22,19,7,9,16,10,11,6,3,3,1,1
E00016420,190,13,40,20,19,4,18,11,15,7,7,9,14,4,3,1,1,0,4
E00173947,154,8,7,9,5,9,25,22,6,10,10,9,10,14,4,4,2,0,0
E00173948,109,8,6,2,4,6,22,31,12,4,5,4,0,3,1,1,0,0,0
E00016417,154,6,10,20,12,11,13,5,15,12,8,7,13,5,6,4,4,1,2
