OA11CD,Total,0-18,19-65,66+
E00016822,333,90,224,19
E00016824,269,57,187,25
E00016778,307,81,202,24
E00016788,275,69,174,32
E00016791,320,90,206,24
E00016800,262,85,164,13
E00016820,328,94,220,14
E00016823,286,76,184,26
E00016843,311,87,193,31
E00016863,374,73,229,72
E00016868,287,64,191,32
E00016870,282,58,188,36
E00016871,322,77,204,41
E00016848,271,58,176,37
E00016859,392,76,269,47
E00016861,553,98,425,30
E00016862,306,47,228,31
E00016866,437,91,305,41
E00016829,263,56,189,18
E00016851,343,80,211,52
E00016860,361,58,285,18
E00016864,356,80,257,19
E00016867,253,45,164,44
E00016869,190,41,104,45
E00016830,350,80,221,49
E00016839,288,68,198,22
E00016845,284,55,204,25
E00016872,377,109,238,30
E00016873,392,121,243,28
E00016838,291,109,161,21
E00016840,387,111,228,48
E00016847,266,90,160,16
E00016852,232,41,158,33
E00016858,255,94,131,30
E00016874,281,60,160,61
E00016826,389,78,247,64
E00016831,293,77,186,30
E00016832,219,42,120,57
E00016833,362,77,225,60
E00016875,274,56,184,34
E00016828,251,63,170,18
E00016850,284,55,204,25
E00016854,282,65,187,30
E00016855,197,37,146,14
E00016857,277,54,194,29
E00016878,320,70,205,45
E00016835,299,60,211,28
E00016837,301,74,196,31
E00016846,339,77,234,28
E00016849,233,47,172,14
E00016865,415,96,278,41
E00016827,336,69,238,29
E00016834,489,135,318,36
E00016842,298,112,170,16
E00016856,379,78,283,18
E00016876,232,43,144,45
E00016877,185,38,124,23
E00016825,274,74,182,18
E00016836,291,70,149,72
E00016841,292,74,190,28
E00016844,243,45,155,43
E00016853,321,89,203,29
E00016905,281,69,194,18
E00016907,334,95,225,14
E00016908,193,45,118,30
E00016910,385,121,229,35
E00016912,273,78,172,23
E00016909,440,144,264,32
E00016911,372,114,228,30
E00016913,486,141,307,38
E00016914,319,98,208,13
E00016881,377,80,266,31
E00016915,316,63,239,14
E00016916,394,97,270,27
E00016920,293,67,168,58
E00173950,488,95,366,27
E00173951,218,48,140,30
E00016921,288,66,197,25
E00016922,312,45,223,44
E00016923,372,63,278,31
E00016925,430,63,338,29
E00016926,346,89,224,33
E00016917,500,61,409,30
E00016918,393,36,344,13
E00016919,318,52,241,25
E00016924,401,60,307,34
E00016927,309,47,238,24
E00016879,416,83,298,35
E00016884,344,87,228,29
E00016886,385,77,295,13
E00016893,325,57,233,35
E00016896,281,55,218,8
E00016898,288,63,201,24
E00016900,357,70,257,30
E00016901,222,61,150,11
E00016904,277,65,198,14
E00016906,310,79,208,23
E00016885,311,56,224,31
E00016887,251,59,159,33
E00016889,331,69,225,37
E00016890,312,77,207,28
E00016895,323,69,228,26
E00016883,393,65,306,22
E00016888,342,63,244,35
E00016891,429,66,339,24
E00016892,324,57,247,20
E00016894,318,55,240,23
E00016880,559,146,378,35
E00016897,529,75,429,25
E00016899,251,43,187,21
E00016902,353,81,253,19
E00016903,402,69,311,22
E00016930,586,148,375,63
E00016946,470,123,297,50
E00016952,260,63,163,34
E00016964,323,88,187,48
E00016948,439,157,252,30
E00016949,418,147,235,36
E00016951,335,123,196,16
E00016955,369,135,200,34
E00016956,297,92,175,30
E00016950,311,71,200,40
E00016967,437,124,276,37
E00016968,300,80,180,40
E00016969,337,108,191,38
E00016971,300,91,182,27
E00016929,358,102,218,38
E00016931,287,92,182,13
E00016932,395,126,244,25
E00016954,340,122,209,9
E00016961,277,88,167,22
E00016928,439,122,292,25
E00016947,149,27,97,25
E00016958,359,105,226,28
E00016963,313,69,196,48
E00016933,553,174,337,42
