OA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016652,218,73,18,22,2,15,57,31
E00016653,240,28,21,22,4,20,121,24
E00016654,194,52,40,21,0,21,35,25
E00016655,264,30,20,23,1,41,123,26
E00016656,278,44,24,28,1,37,111,33
E00016657,210,55,30,23,2,26,55,19
E00016658,187,44,8,20,1,21,71,22
E00016659,193,35,24,15,1,22,77,19
E00016660,274,41,26,38,5,39,109,16
E00016661,251,51,30,31,1,21,101,16
E00016662,228,32,16,32,5,25,103,15
E00016663,301,42,39,44,2,31,122,21
E00016664,293,27,34,29,5,27,154,17
E00016666,234,38,23,23,3,36,86,25
E00016667,329,54,31,36,4,35,147,22
E00016668,196,39,27,19,7,15,71,18
E00016669,212,39,19,25,6,19,86,18
E00016670,213,32,33,30,4,23,75,16
E00016671,141,29,14,16,2,18,53,9
E00016672,290,40,38,37,1,32,106,36
E00016673,306,64,34,34,7,44,101,22
E00016674,233,34,17,32,1,24,113,12
E00016675,194,19,16,20,2,16,63,58
E00016676,200,55,20,36,4,21,48,16
E00016677,462,40,32,33,2,154,128,73
E00016678,198,53,22,25,4,21,41,32
E00016679,273,129,30,26,7,15,55,11
E00016680,186,14,19,11,2,40,70,30
E00016682,208,10,14,19,2,24,106,33
E00016683,261,17,22,20,1,31,136,34
E00016684,191,18,13,23,3,17,85,32
E00016685,243,61,38,26,2,33,60,23
E00016686,258,62,36,36,5,20,75,24
E00016687,159,14,6,14,0,26,89,10
E00016688,240,67,23,29,3,33,58,27
E00016689,213,31,13,29,1,31,93,15
E00016690,218,57,26,26,4,25,56,24
E00016691,240,50,27,27,1,23,75,37
E00016693,287,62,31,41,2,45,79,27
E00016694,245,52,27,23,6,33,84,20
E00016695,230,59,20,36,4,22,61,28
E00016696,185,18,14,24,1,24,80,24
E00016697,258,41,27,45,1,32,80,32
E00016698,258,50,31,29,4,26,92,26
E00016699,234,55,29,30,0,18,73,29
E00016701,180,28,14,17,2,31,72,16
E00016702,267,32,37,24,5,34,107,28
E00016703,200,49,19,27,2,25,55,23
E00016705,218,24,18,15,2,25,95,39
E00016706,184,47,24,16,1,19,63,14
E00016707,374,67,31,42,1,51,144,38
E00016708,266,57,28,32,2,33,83,31
E00016709,327,70,34,45,2,38,103,35
E00016710,257,61,21,40,6,31,60,38
E00016711,234,26,16,20,6,23,120,23
E00016712,322,38,20,40,2,102,87,33
E00016713,346,52,33,40,8,40,150,23
E00016714,217,44,24,20,3,17,91,18
E00016715,278,30,19,29,1,44,133,22
E00016716,245,12,23,27,0,29,114,40
E00016717,152,19,8,13,2,19,65,26
E00016718,209,71,25,35,1,15,44,18
E00016719,191,47,33,30,1,18,47,15
E00016720,235,25,17,20,0,31,90,52
E00016721,174,45,32,27,3,13,38,16
E00016722,272,55,40,52,3,35,61,26
E00016723,215,45,33,27,3,28,50,29
E00016724,240,16,19,28,4,33,110,30
E00016725,173,14,16,18,1,19,79,26
E00016726,145,31,27,13,3,18,38,15
E00016727,271,68,29,38,3,36,84,13
E00016728,183,49,22,28,2,27,43,12
E00016729,213,31,16,17,4,15,120,10
E00016730,277,54,33,39,8,27,93,23
E00016731,241,47,39,39,0,23,76,17
E00016732,293,22,19,39,3,26,155,29
E00016733,260,33,32,37,2,24,114,18
E00016734,216,31,30,25,4,15,96,15
E00016735,287,57,17,32,3,26,132,20
E00016737,221,42,10,20,1,23,109,16
E00016738,334,45,31,50,7,41,136,24
E00016739,230,40,17,36,4,20,103,10
E00016740,285,48,24,40,3,29,124,17
E00016741,225,46,10,21,2,16,123,7
E00016742,249,31,19,24,3,21,136,15
E00016743,232,23,34,21,4,32,103,15
E00016744,270,51,20,24,6,38,115,16
E00016745,302,19,25,52,7,30,144,25
E00016746,289,46,29,38,6,28,125,17
E00016747,205,47,22,23,5,25,70,13
E00016748,201,47,26,32,3,17,58,18
E00016749,240,41,20,24,3,20,113,19
E00016750,228,41,24,24,1,21,107,10
E00016751,242,31,30,41,3,20,102,15
E00016752,287,57,31,38,7,37,90,27
E00016753,202,27,31,31,3,25,78,7
E00016754,233,18,28,44,2,22,113,6
E00016755,334,64,46,39,2,32,116,35
E00016756,201,35,25,38,3,22,53,25
E00016757,215,24,25,27,3,15,115,6
E00016758,236,54,29,31,3,26,76,17
E00016759,271,56,28,29,3,34,107,14
E00016760,227,40,14,24,3,27,100,19
E00016761,262,25,34,29,10,28,122,14
E00016762,235,35,27,34,3,16,80,40
E00016763,260,27,20,29,4,25,130,25
E00016764,218,34,26,24,4,32,79,19
E00016765,193,19,25,27,4,16,89,13
E00016766,277,89,32,35,6,21,60,34
E00016767,211,38,18,21,2,31,90,11
E00016768,199,62,22,24,5,25,48,13
E00016769,259,45,41,41,2,19,92,19
E00016770,136,4,15,17,2,18,73,7
E00016771,296,37,36,32,1,39,138,13
E00016772,277,41,24,24,5,20,140,23
E00016773,189,39,25,23,3,24,57,18
E00016774,271,49,29,47,4,32,92,18
E00016775,173,33,22,35,2,11,45,25
E00016776,264,46,20,28,10,31,119,10
E00016777,313,48,34,44,4,20,148,15
E00016778,274,50,34,35,9,34,88,24
E00016779,219,38,30,42,14,24,54,17
