OA11CD,One person household,One family household,Other household types
E00016239,39.86486486486486,41.21621621621622,18.91891891891892
E00016240,48.23529411764706,38.8235294117647,12.941176470588236
E00016241,51.04895104895105,39.86013986013986,9.090909090909092
E00016245,29.896907216494846,53.608247422680414,16.49484536082474
E00016211,37.16814159292036,45.13274336283186,17.699115044247787
E00016213,39.411764705882355,42.94117647058823,17.647058823529413
E00016244,29.6875,39.84375,30.46875
E00016250,43.97163120567376,30.49645390070922,25.53191489361702
E00174011,39.62264150943396,45.283018867924525,15.09433962264151
E00174032,29.545454545454547,32.57575757575758,37.878787878787875
E00174033,17.073170731707318,56.09756097560975,26.829268292682926
E00016216,41.52046783625731,44.44444444444444,14.035087719298245
E00016236,50.490196078431374,28.92156862745098,20.58823529411765
E00016246,30.656934306569344,48.90510948905109,20.437956204379564
E00016248,46.55172413793103,41.37931034482759,12.068965517241379
E00016252,40.24390243902439,43.90243902439025,15.853658536585366
E00016214,32.098765432098766,40.74074074074074,27.160493827160494
E00016215,32.592592592592595,37.77777777777778,29.62962962962963
E00016217,38.70967741935484,41.935483870967744,19.35483870967742
E00016237,25.892857142857142,46.42857142857143,27.678571428571427
E00016247,37.857142857142854,50.714285714285715,11.428571428571429
E00016253,35.60606060606061,39.39393939393939,25.0
E00016209,32.278481012658226,44.30379746835443,23.417721518987342
E00016235,37.93103448275862,29.655172413793103,32.41379310344828
E00016238,36.46408839779006,37.01657458563536,26.519337016574585
E00173941,20.952380952380953,58.095238095238095,20.952380952380953
E00173942,28.571428571428573,41.55844155844156,29.87012987012987
E00016881,45.19230769230769,38.46153846153846,16.346153846153847
E00016915,54.54545454545455,32.16783216783217,13.286713286713287
E00016916,32.394366197183096,56.33802816901409,11.267605633802816
E00016920,36.507936507936506,47.61904761904762,15.873015873015873
E00173950,36.75213675213675,41.02564102564103,22.22222222222222
E00173951,43.16546762589928,50.35971223021583,6.474820143884892
E00016921,36.6412213740458,43.51145038167939,19.84732824427481
E00016922,45.138888888888886,34.02777777777778,20.833333333333332
E00016923,34.61538461538461,42.30769230769231,23.076923076923077
E00016925,28.14070351758794,51.75879396984924,20.100502512562816
E00016926,33.08270676691729,51.12781954887218,15.789473684210526
E00016917,24.58100558659218,43.57541899441341,31.843575418994412
E00016918,28.846153846153847,29.487179487179485,41.666666666666664
E00016919,28.368794326241133,38.297872340425535,33.333333333333336
E00016924,39.24731182795699,40.32258064516129,20.43010752688172
E00016927,34.81481481481482,48.148148148148145,17.037037037037038
E00016879,18.78787878787879,55.15151515151515,26.060606060606062
E00016884,25.384615384615383,53.07692307692308,21.53846153846154
E00016886,32.450331125827816,48.34437086092715,19.205298013245034
E00016893,16.296296296296298,56.2962962962963,27.40740740740741
E00016885,43.065693430656935,43.065693430656935,13.86861313868613
E00016887,32.35294117647059,48.03921568627451,19.607843137254903
E00016889,37.06896551724138,47.41379310344828,15.517241379310345
E00016890,38.68613138686131,49.63503649635037,11.678832116788321
E00016895,38.059701492537314,43.28358208955224,18.65671641791045
E00016159,35.833333333333336,51.666666666666664,12.5
E00016173,27.06766917293233,59.3984962406015,13.533834586466165
E00016176,28.14814814814815,63.7037037037037,8.148148148148149
E00016184,47.32824427480916,41.98473282442748,10.687022900763358
E00016186,34.26573426573427,51.74825174825175,13.986013986013987
E00016188,33.81294964028777,58.273381294964025,7.913669064748201
E00016164,17.272727272727273,63.63636363636363,19.09090909090909
E00016170,48.666666666666664,35.333333333333336,16.0
E00016175,40.26845637583892,44.966442953020135,14.765100671140939
E00016181,36.42857142857143,45.0,18.571428571428573
E00016182,22.137404580152673,64.8854961832061,12.977099236641221
E00016162,33.333333333333336,51.16279069767442,15.503875968992247
E00016198,25.714285714285715,58.095238095238095,16.19047619047619
E00016202,15.0,68.0,17.0
E00016205,33.333333333333336,52.713178294573645,13.953488372093023
E00016208,45.0,48.57142857142857,6.428571428571429
E00016199,26.050420168067227,59.66386554621849,14.285714285714286
E00016200,50.0,40.476190476190474,9.523809523809524
E00016201,28.571428571428573,51.785714285714285,19.642857142857142
