OA11CD,Rural Urban,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E00016888,Total,129,57,19,38,0,47,21,26,24,20,0,4,0,1
E00016891,Total,171,43,7,36,0,70,41,29,56,45,0,11,0,2
E00016892,Total,126,55,15,40,1,23,13,10,47,41,0,6,0,0
E00016894,Total,151,62,20,42,2,45,19,26,39,23,0,16,0,3
E00016880,Total,115,40,6,34,0,54,38,16,20,20,0,0,0,1
E00016897,Total,180,58,20,38,1,41,14,27,80,77,0,2,1,0
E00016899,Total,159,67,18,49,3,17,14,3,72,70,0,1,1,0
E00016902,Total,137,55,17,38,3,35,26,9,43,42,0,0,1,1
E00016903,Total,128,59,14,45,1,18,5,13,49,45,0,4,0,1
E00016564,Total,133,74,24,50,1,29,11,18,29,25,0,3,1,0
E00016567,Total,82,12,2,10,1,59,46,13,10,8,0,0,2,0
E00016569,Total,128,76,27,49,0,25,15,10,27,26,0,1,0,0
E00016571,Total,115,94,36,58,0,5,3,2,16,13,1,2,0,0
E00173700,Total,103,46,26,20,0,43,4,39,14,9,0,5,0,0
E00173702,Total,105,54,23,31,0,42,4,38,9,7,0,2,0,0
E00016558,Total,126,48,9,39,1,36,12,24,41,37,1,2,1,0
E00016561,Total,121,42,7,35,0,35,7,28,43,41,0,2,0,1
E00016566,Total,113,50,20,30,0,25,7,18,37,36,0,1,0,1
E00016568,Total,144,61,20,41,3,36,14,22,40,34,0,6,0,4
E00016572,Total,147,54,24,30,0,46,24,22,47,45,0,2,0,0
E00016575,Total,127,69,17,52,1,37,14,23,20,17,0,2,1,0
E00016557,Total,95,33,11,22,0,21,10,11,40,34,0,6,0,1
E00016559,Total,137,62,27,35,0,30,5,25,44,41,0,3,0,1
E00016560,Total,146,60,18,42,0,20,5,15,65,60,1,3,1,1
E00016562,Total,147,72,25,47,2,28,3,25,45,44,0,1,0,0
E00016563,Total,126,66,26,40,0,28,0,28,31,28,0,3,0,1
E00016565,Total,154,60,18,42,0,54,34,20,40,38,0,2,0,0
E00016544,Total,149,85,35,50,0,28,22,6,34,34,0,0,0,2
E00016574,Total,128,80,28,52,0,20,13,7,26,19,0,6,1,2
E00016576,Total,125,68,22,46,0,24,8,16,31,30,0,1,0,2
E00016577,Total,144,92,36,56,1,27,19,8,21,18,0,3,0,3
E00016578,Total,108,72,28,44,0,13,7,6,21,15,0,6,0,2
E00016635,Total,175,59,28,31,1,22,7,15,92,91,0,1,0,1
E00016640,Total,142,26,12,14,0,98,16,82,17,16,0,1,0,1
E00016641,Total,147,31,3,28,4,89,79,10,13,12,0,1,0,10
E00016642,Total,183,44,21,23,12,89,60,29,35,34,0,0,1,3
E00016643,Total,147,46,15,31,1,76,72,4,23,22,0,1,0,1
E00016630,Total,152,61,16,45,9,31,8,23,50,45,2,2,1,1
E00016647,Total,151,25,6,19,2,73,62,11,51,49,0,1,1,0
E00016648,Total,136,37,13,24,0,34,11,23,65,64,0,1,0,0
E00016649,Total,138,13,2,11,0,71,19,52,54,50,1,1,2,0
E00016651,Total,148,51,15,36,12,32,11,21,53,51,0,1,1,0
E00016629,Total,159,36,11,25,4,83,77,6,34,33,0,0,1,2
E00016650,Total,122,43,10,33,1,61,35,26,16,15,0,1,0,1
E00016652,Total,129,16,5,11,0,86,40,46,26,24,0,1,1,1
E00016654,Total,133,7,2,5,0,108,19,89,18,17,0,0,1,0
E00016657,Total,139,21,4,17,2,98,37,61,18,17,0,1,0,0
E00016633,Total,109,32,9,23,0,45,10,35,31,30,0,0,1,1
E00016636,Total,133,39,13,26,0,2,1,1,92,90,0,1,1,0
E00016638,Total,84,20,9,11,1,3,2,1,59,58,0,0,1,1
E00016639,Total,200,35,15,20,44,108,9,99,13,9,0,1,3,0
E00016674,Total,122,76,29,47,1,18,7,11,27,26,0,1,0,0
E00174018,Total,234,52,12,40,12,11,8,3,158,157,0,1,0,1
E00174019,Total,84,18,10,8,18,26,6,20,20,19,0,1,0,2
E00174021,Total,55,21,5,16,0,6,4,2,28,26,0,2,0,0
E00016628,Total,149,58,30,28,23,29,6,23,36,35,0,1,0,3
E00016637,Total,194,99,55,44,8,11,2,9,76,72,1,3,0,0
E00174024,Total,114,35,11,24,1,9,4,5,67,67,0,0,0,2
E00174029,Total,112,20,10,10,0,9,6,3,83,83,0,0,0,0
E00174030,Total,110,38,5,33,5,25,14,11,42,41,0,0,1,0
E00016644,Total,208,44,9,35,4,74,45,29,72,72,0,0,0,14
E00016645,Total,170,60,21,39,5,59,29,30,40,38,0,2,0,6
E00016646,Total,173,45,17,28,1,61,22,39,66,64,0,2,0,0
E00016584,Total,233,86,33,53,3,54,14,40,89,83,1,2,3,1
E00016596,Total,126,87,31,56,0,19,17,2,19,19,0,0,0,1
E00016598,Total,228,117,41,76,4,46,28,18,59,54,0,4,1,2
E00016623,Total,173,63,7,56,0,49,5,44,61,59,0,1,1,0
E00174036,Total,97,55,21,34,4,16,9,7,21,20,0,1,0,1
E00174038,Total,190,63,16,47,2,27,11,16,96,92,0,4,0,2
E00016585,Total,134,69,32,37,0,9,1,8,56,54,0,2,0,0
E00016593,Total,244,136,62,74,4,12,6,6,90,84,2,0,4,2
E00016600,Total,144,120,47,73,0,17,14,3,7,6,0,1,0,0
E00016602,Total,133,95,29,66,0,27,9,18,11,11,0,0,0,0
E00016624,Total,129,48,15,33,4,15,7,8,60,57,0,3,0,2
E00016625,Total,139,91,35,56,0,15,3,12,33,29,0,3,1,0
E00016587,Total,184,89,32,57,3,58,47,11,33,33,0,0,0,1
E00016594,Total,157,82,23,59,1,29,14,15,43,40,0,3,0,2
