OA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016290,141,10,33,17,23,10,14,13,8,13
E00016292,154,14,30,20,23,23,6,12,8,18
E00016293,163,13,37,26,27,14,16,13,9,8
E00016295,177,23,34,24,29,20,15,17,4,11
E00016258,181,14,50,14,37,18,15,13,8,12
E00016259,155,12,39,24,25,10,18,10,9,8
E00016298,221,21,46,31,25,25,23,20,10,20
E00016299,191,19,51,25,26,12,20,18,11,9
E00016274,132,11,34,21,19,10,13,12,4,8
E00016276,184,12,44,25,17,22,20,13,11,20
E00016277,166,11,55,15,21,10,16,14,8,16
E00016278,152,21,31,30,13,8,17,19,4,9
E00016285,139,17,37,20,15,10,8,13,4,15
E00016256,141,10,20,14,22,16,24,8,11,16
E00016284,156,18,42,19,24,8,12,12,6,15
E00016286,168,25,42,20,27,12,11,18,7,6
E00016296,151,16,34,21,11,16,12,14,8,19
E00016297,139,18,28,14,18,11,12,22,8,8
E00016275,177,16,34,28,22,12,23,15,9,18
E00016279,156,16,29,17,27,16,18,13,9,11
E00016280,131,9,39,19,18,10,14,10,5,7
E00016283,191,21,51,30,29,11,12,13,10,14
E00016287,170,9,29,22,26,16,20,19,10,19
E00016513,157,16,21,14,31,21,17,9,11,17
E00016514,93,9,14,16,16,10,7,7,4,10
E00016515,120,14,22,25,13,9,10,12,3,12
E00016516,108,6,19,14,15,13,18,8,6,9
E00016519,127,13,37,25,16,8,9,4,8,7
E00016521,114,14,15,11,16,20,6,10,7,15
E00016493,184,13,43,30,22,17,24,17,9,9
E00016499,154,19,22,30,20,20,16,16,5,6
E00016502,142,19,29,22,20,16,13,11,3,9
E00016503,124,17,28,34,11,10,8,5,2,9
E00016507,143,14,29,27,19,17,7,11,4,15
