OA11CD,Rural Urban,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E00174021,Total,91,73,7,51,0,2,1,3,5,4,18,0,7,6,1,4
E00016628,Total,273,219,31,115,0,6,11,20,24,12,54,14,20,10,5,5
E00016637,Total,345,255,36,147,0,8,9,17,21,17,90,24,30,12,11,13
E00174024,Total,229,179,19,94,0,4,1,30,10,21,50,6,28,1,10,5
E00174029,Total,219,171,19,104,0,4,10,16,11,7,48,8,7,7,18,8
E00174030,Total,174,139,18,76,1,3,10,14,16,1,35,5,5,10,9,6
E00016644,Total,353,256,41,143,1,5,6,15,24,21,97,7,27,33,18,12
E00016645,Total,304,222,44,123,2,7,6,15,16,9,82,25,20,20,11,6
E00016646,Total,307,215,41,117,1,7,5,12,21,11,92,17,29,20,14,12
E00016584,Total,503,407,85,200,1,3,43,27,20,28,96,31,17,15,14,19
E00016596,Total,233,186,23,115,1,7,8,13,11,8,47,17,9,14,3,4
E00016598,Total,394,292,33,176,3,0,17,21,26,16,102,42,16,11,18,15
E00016623,Total,312,277,36,183,1,5,4,15,13,20,35,3,6,10,11,5
E00174036,Total,170,114,19,69,0,1,7,6,9,3,56,24,13,8,8,3
E00174038,Total,369,310,46,195,3,4,22,15,9,16,59,17,18,9,10,5
E00016585,Total,213,160,18,102,2,1,9,10,13,5,53,22,17,9,1,4
E00016593,Total,388,306,43,171,2,8,14,27,25,16,82,29,31,10,5,7
E00016600,Total,269,222,45,121,0,8,15,20,8,5,47,20,9,11,5,2
E00016602,Total,236,198,29,122,1,5,11,21,8,1,38,15,6,8,5,4
E00016624,Total,208,180,17,114,0,7,10,14,13,5,28,9,9,6,4,0
E00016625,Total,247,204,31,136,0,4,12,11,7,3,43,15,12,10,5,1
E00016587,Total,333,237,34,131,1,1,15,16,24,15,96,34,20,17,17,8
E00016594,Total,256,207,25,140,0,1,6,21,12,2,49,17,11,9,4,8
E00016605,Total,338,273,39,166,0,2,10,11,26,19,65,17,22,9,11,6
E00016608,Total,163,134,11,91,0,4,5,10,7,6,29,8,7,3,7,4
E00016626,Total,260,195,35,124,0,4,8,12,9,3,65,27,18,15,1,4
E00016589,Total,208,144,40,77,0,1,9,6,11,0,64,35,14,6,4,5
E00016595,Total,173,111,25,55,0,1,3,5,18,4,62,10,15,16,11,10
E00016597,Total,145,94,16,45,0,2,4,6,14,7,51,18,1,12,14,6
E00016599,Total,229,169,24,90,1,6,2,17,18,11,60,20,16,11,10,3
E00016601,Total,233,144,33,72,1,4,5,3,14,12,89,25,10,25,16,13
E00016607,Total,146,112,16,76,0,2,0,9,5,4,34,22,3,4,2,3
E00016573,Total,252,207,22,126,2,4,16,19,10,8,45,13,18,5,3,6
E00016579,Total,280,199,24,112,1,6,9,21,21,5,81,16,48,4,10,3
E00016580,Total,330,240,34,139,1,3,10,18,11,24,90,26,48,4,7,5
E00016581,Total,365,262,38,150,0,11,9,18,20,16,103,18,47,19,12,7
E00016582,Total,365,256,30,136,0,1,19,21,16,33,109,27,58,7,12,5
E00016546,Total,266,214,33,120,2,8,14,14,12,11,52,10,10,8,9,15
E00016547,Total,337,275,54,150,1,3,13,18,16,20,62,18,15,9,10,10
E00016548,Total,259,198,34,103,2,10,13,15,11,10,61,31,17,8,3,2
E00016550,Total,272,216,42,123,0,4,6,17,9,15,56,14,14,11,6,11
